=== Auction 4 Results ===
Generated: 2025-09-28 18:14:22

Winner: Bidder 28
Winning Amount: 149.98
Total Bids Received: 61

=== All Bids ===
Bidder ID  | Amount    
----------------------
28         | 149.98    
84         | 149.43    
91         | 147.77    
45         | 146.89    
16         | 142.83    
74         | 141.64    
48         | 141.32    
2          | 141.26    
92         | 138.42    
55         | 137.71    
29         | 137.67    
76         | 137.25    
83         | 135.42    
52         | 133.41    
4          | 133.12    
89         | 132.29    
87         | 130.38    
99         | 129.36    
58         | 125.94    
41         | 123.24    
96         | 123.04    
57         | 121.51    
3          | 120.46    
44         | 119.37    
26         | 118.72    
23         | 116.79    
21         | 115.38    
25         | 114.10    
64         | 113.08    
12         | 112.92    
37         | 108.08    
18         | 107.70    
13         | 105.64    
62         | 104.70    
33         | 103.37    
24         | 101.94    
47         | 101.84    
30         | 96.53     
1          | 93.96     
43         | 93.45     
59         | 90.70     
51         | 89.96     
71         | 88.04     
49         | 87.54     
15         | 86.10     
90         | 84.54     
65         | 78.33     
86         | 76.52     
79         | 72.03     
97         | 71.21     
32         | 68.77     
72         | 67.76     
14         | 66.47     
31         | 65.67     
78         | 64.50     
19         | 58.55     
7          | 57.61     
27         | 56.98     
46         | 55.83     
100        | 53.30     
67         | 50.29     
