=== Auction 27 Results ===
Generated: 2025-09-28 18:14:22

Winner: Bidder 2
Winning Amount: 149.88
Total Bids Received: 61

=== All Bids ===
Bidder ID  | Amount    
----------------------
2          | 149.88    
11         | 148.07    
32         | 146.37    
84         | 144.73    
53         | 143.19    
27         | 140.76    
47         | 140.60    
94         | 139.44    
24         | 137.99    
100        | 137.53    
17         | 133.03    
12         | 131.40    
25         | 130.97    
91         | 126.54    
60         | 126.06    
87         | 124.23    
67         | 122.64    
54         | 115.71    
49         | 114.82    
7          | 113.71    
92         | 111.73    
97         | 111.27    
18         | 109.32    
31         | 106.45    
38         | 105.85    
93         | 101.19    
62         | 100.39    
42         | 99.13     
59         | 98.45     
90         | 97.71     
35         | 95.35     
28         | 94.64     
39         | 89.10     
99         | 88.18     
98         | 85.42     
21         | 84.21     
61         | 84.10     
71         | 83.03     
55         | 82.66     
44         | 79.57     
43         | 79.36     
36         | 78.88     
9          | 76.38     
76         | 76.27     
41         | 76.03     
20         | 74.87     
95         | 74.20     
52         | 72.10     
82         | 71.61     
73         | 69.78     
56         | 69.40     
64         | 68.14     
10         | 66.17     
74         | 65.47     
40         | 64.89     
77         | 63.57     
81         | 62.66     
63         | 60.21     
88         | 58.92     
51         | 57.35     
19         | 55.15     
