=== Auction 14 Results ===
Generated: 2025-09-28 18:14:22

Winner: Bidder 20
Winning Amount: 149.30
Total Bids Received: 65

=== All Bids ===
Bidder ID  | Amount    
----------------------
20         | 149.30    
48         | 147.97    
88         | 147.79    
64         | 147.54    
87         | 145.91    
65         | 145.78    
57         | 145.54    
35         | 144.75    
52         | 142.63    
29         | 141.03    
91         | 137.49    
5          | 135.13    
78         | 134.40    
19         | 130.00    
11         | 126.47    
89         | 126.19    
30         | 126.17    
43         | 122.41    
10         | 122.11    
61         | 120.42    
18         | 118.35    
59         | 115.93    
81         | 115.21    
37         | 113.42    
72         | 113.14    
15         | 112.69    
63         | 112.33    
86         | 111.80    
95         | 111.20    
33         | 110.62    
16         | 107.10    
84         | 106.80    
83         | 101.11    
21         | 97.50     
28         | 95.77     
67         | 91.88     
54         | 91.70     
39         | 91.01     
36         | 90.70     
50         | 90.59     
40         | 89.37     
100        | 87.86     
53         | 87.17     
25         | 85.68     
56         | 85.51     
44         | 85.04     
92         | 84.08     
76         | 82.35     
31         | 82.31     
42         | 81.27     
90         | 79.12     
71         | 79.05     
75         | 79.03     
99         | 78.56     
22         | 77.80     
97         | 77.57     
66         | 75.23     
4          | 71.41     
47         | 65.27     
49         | 63.36     
14         | 63.30     
27         | 60.51     
7          | 57.42     
93         | 53.71     
13         | 52.24     
