=== Auction 9 Results ===
Generated: 2025-09-28 18:14:22

Winner: Bidder 58
Winning Amount: 149.90
Total Bids Received: 65

=== All Bids ===
Bidder ID  | Amount    
----------------------
58         | 149.90    
14         | 148.82    
6          | 147.29    
66         | 144.53    
79         | 141.81    
43         | 138.43    
72         | 136.77    
23         | 134.01    
15         | 129.34    
26         | 127.49    
65         | 126.84    
1          | 126.17    
74         | 125.83    
40         | 124.72    
62         | 122.21    
42         | 121.10    
16         | 121.05    
64         | 119.44    
73         | 118.67    
48         | 117.28    
95         | 116.04    
27         | 112.39    
63         | 110.31    
75         | 107.00    
46         | 106.77    
87         | 105.21    
83         | 103.99    
3          | 102.59    
24         | 102.58    
38         | 102.52    
100        | 102.15    
67         | 95.75     
93         | 89.10     
97         | 88.84     
68         | 88.70     
18         | 87.86     
77         | 87.46     
34         | 85.58     
41         | 85.25     
47         | 84.75     
86         | 83.42     
9          | 83.39     
37         | 83.26     
84         | 81.88     
70         | 81.83     
31         | 81.82     
5          | 79.90     
20         | 77.54     
94         | 76.02     
53         | 74.99     
52         | 72.67     
30         | 72.65     
90         | 68.23     
54         | 66.65     
13         | 64.11     
2          | 63.67     
56         | 57.84     
22         | 57.59     
81         | 56.80     
21         | 56.55     
82         | 56.18     
7          | 55.05     
69         | 52.17     
91         | 50.39     
8          | 50.07     
