=== Auction 23 Results ===
Generated: 2025-09-28 18:14:22

Winner: Bidder 31
Winning Amount: 148.48
Total Bids Received: 70

=== All Bids ===
Bidder ID  | Amount    
----------------------
31         | 148.48    
11         | 146.96    
48         | 146.60    
17         | 140.17    
62         | 137.25    
24         | 136.69    
92         | 136.04    
77         | 135.67    
27         | 135.65    
65         | 132.94    
68         | 131.50    
100        | 129.57    
99         | 127.65    
55         | 127.54    
12         | 125.20    
95         | 124.02    
18         | 121.55    
98         | 120.74    
32         | 120.27    
76         | 118.61    
28         | 116.76    
4          | 116.54    
29         | 115.84    
97         | 115.08    
20         | 113.14    
34         | 112.81    
23         | 111.83    
45         | 111.61    
63         | 110.09    
39         | 109.59    
19         | 108.71    
64         | 108.26    
50         | 107.18    
83         | 106.75    
96         | 105.97    
41         | 105.83    
36         | 104.44    
15         | 100.97    
53         | 98.73     
6          | 94.02     
71         | 91.14     
13         | 90.22     
75         | 88.76     
66         | 88.08     
69         | 83.29     
33         | 81.69     
73         | 80.79     
9          | 80.28     
1          | 79.83     
52         | 79.37     
57         | 79.25     
58         | 79.06     
89         | 78.72     
79         | 78.66     
7          | 77.88     
47         | 76.90     
40         | 75.22     
94         | 74.79     
70         | 72.60     
37         | 68.52     
43         | 67.98     
42         | 65.81     
51         | 65.33     
60         | 63.96     
80         | 63.29     
82         | 59.31     
86         | 57.07     
78         | 53.62     
25         | 53.43     
3          | 51.31     
