=== Auction 8 Results ===
Generated: 2025-09-28 18:14:22

Winner: Bidder 1
Winning Amount: 148.82
Total Bids Received: 81

=== All Bids ===
Bidder ID  | Amount    
----------------------
1          | 148.82    
4          | 147.24    
61         | 139.68    
35         | 138.81    
26         | 137.95    
54         | 137.80    
84         | 136.18    
22         | 135.22    
80         | 135.01    
86         | 132.36    
45         | 129.03    
62         | 128.94    
27         | 124.29    
63         | 123.78    
76         | 123.65    
78         | 119.46    
64         | 117.96    
97         | 116.84    
94         | 115.90    
68         | 114.80    
96         | 114.75    
42         | 114.38    
98         | 113.07    
69         | 110.83    
30         | 110.09    
93         | 110.08    
41         | 109.60    
53         | 108.32    
73         | 108.24    
2          | 104.57    
39         | 103.51    
44         | 102.57    
87         | 100.60    
21         | 99.50     
52         | 99.05     
75         | 98.06     
55         | 97.86     
20         | 97.48     
19         | 96.42     
12         | 95.72     
6          | 94.95     
90         | 94.54     
57         | 93.24     
36         | 93.15     
82         | 92.00     
5          | 88.24     
85         | 87.39     
51         | 87.37     
72         | 86.54     
9          | 86.11     
15         | 85.64     
88         | 83.27     
38         | 80.30     
43         | 80.12     
81         | 79.06     
28         | 77.47     
32         | 76.48     
48         | 73.32     
46         | 73.05     
95         | 71.89     
50         | 68.81     
100        | 68.77     
91         | 68.21     
77         | 67.46     
59         | 66.21     
25         | 66.12     
17         | 65.42     
8          | 65.25     
67         | 64.23     
23         | 64.05     
58         | 63.90     
3          | 63.76     
83         | 62.08     
65         | 59.30     
66         | 58.84     
99         | 57.73     
24         | 57.63     
79         | 57.59     
40         | 55.83     
70         | 53.57     
74         | 53.11     
