=== Auction 20 Results ===
Generated: 2025-09-28 18:14:22

Winner: Bidder 50
Winning Amount: 144.92
Total Bids Received: 64

=== All Bids ===
Bidder ID  | Amount    
----------------------
50         | 144.92    
90         | 143.71    
79         | 139.42    
6          | 139.26    
100        | 136.84    
96         | 136.25    
4          | 134.91    
40         | 133.52    
71         | 133.21    
74         | 130.59    
58         | 130.40    
15         | 130.31    
35         | 128.64    
64         | 127.01    
7          | 126.03    
21         | 123.18    
47         | 121.56    
92         | 120.05    
85         | 118.69    
61         | 118.56    
99         | 118.02    
44         | 113.62    
30         | 111.76    
18         | 110.86    
78         | 108.12    
37         | 105.00    
51         | 103.12    
59         | 101.95    
36         | 101.80    
12         | 101.45    
16         | 100.96    
72         | 100.67    
41         | 100.21    
94         | 99.65     
43         | 99.61     
17         | 99.13     
48         | 99.06     
55         | 98.19     
77         | 97.65     
20         | 97.24     
34         | 97.19     
88         | 94.23     
60         | 90.32     
98         | 87.70     
69         | 79.02     
42         | 77.06     
10         | 75.12     
31         | 73.83     
56         | 73.68     
63         | 73.18     
46         | 72.89     
11         | 72.39     
53         | 70.67     
39         | 66.05     
87         | 65.87     
45         | 65.03     
62         | 64.42     
26         | 60.27     
28         | 58.80     
2          | 58.26     
66         | 56.19     
33         | 55.85     
81         | 52.80     
76         | 51.03     
