=== Auction 11 Results ===
Generated: 2025-09-28 18:14:22

Winner: Bidder 62
Winning Amount: 149.58
Total Bids Received: 72

=== All Bids ===
Bidder ID  | Amount    
----------------------
62         | 149.58    
81         | 149.35    
11         | 148.52    
7          | 148.50    
1          | 145.76    
97         | 145.21    
77         | 142.82    
95         | 142.69    
25         | 141.76    
32         | 141.23    
4          | 141.20    
9          | 140.82    
65         | 140.54    
90         | 139.23    
83         | 137.11    
60         | 136.66    
24         | 133.94    
50         | 132.95    
26         | 132.55    
34         | 131.29    
63         | 128.14    
70         | 126.79    
41         | 125.23    
3          | 124.90    
39         | 124.44    
67         | 118.18    
8          | 117.56    
52         | 115.69    
22         | 114.92    
47         | 111.41    
29         | 109.52    
5          | 108.52    
82         | 106.61    
73         | 104.14    
72         | 103.11    
36         | 100.22    
48         | 99.57     
30         | 99.28     
69         | 97.45     
74         | 97.05     
58         | 96.49     
54         | 95.11     
38         | 93.49     
45         | 93.25     
17         | 92.37     
12         | 91.34     
100        | 90.27     
13         | 89.03     
59         | 88.56     
76         | 87.24     
71         | 84.76     
91         | 82.93     
2          | 82.85     
6          | 77.61     
80         | 76.70     
53         | 76.55     
20         | 76.41     
18         | 75.91     
86         | 74.72     
44         | 73.92     
88         | 71.54     
40         | 70.72     
23         | 69.72     
35         | 67.25     
49         | 63.57     
89         | 63.35     
61         | 61.44     
98         | 57.94     
56         | 57.63     
43         | 56.26     
79         | 55.02     
21         | 52.83     
