=== Auction 31 Results ===
Generated: 2025-09-28 18:14:22

Winner: Bidder 38
Winning Amount: 147.75
Total Bids Received: 69

=== All Bids ===
Bidder ID  | Amount    
----------------------
38         | 147.75    
92         | 145.01    
89         | 143.34    
45         | 141.45    
99         | 141.43    
8          | 140.27    
67         | 139.92    
79         | 137.82    
39         | 134.78    
23         | 133.92    
96         | 133.47    
32         | 131.50    
24         | 129.72    
1          | 129.44    
70         | 129.43    
93         | 125.98    
46         | 121.91    
71         | 120.64    
73         | 118.64    
16         | 117.34    
54         | 117.25    
98         | 117.18    
63         | 116.35    
100        | 115.69    
69         | 114.92    
35         | 112.71    
25         | 110.58    
85         | 109.32    
19         | 107.29    
75         | 105.05    
33         | 104.89    
74         | 98.64     
55         | 98.10     
52         | 96.06     
28         | 93.99     
4          | 93.65     
21         | 93.14     
78         | 92.45     
65         | 92.24     
83         | 91.26     
97         | 90.69     
27         | 89.74     
30         | 89.64     
17         | 89.38     
59         | 88.31     
10         | 88.04     
7          | 87.79     
6          | 86.48     
82         | 85.54     
12         | 82.43     
15         | 82.04     
68         | 81.25     
72         | 79.72     
42         | 78.15     
47         | 75.70     
56         | 73.30     
94         | 67.13     
86         | 63.89     
64         | 63.45     
81         | 62.95     
87         | 62.23     
41         | 60.17     
51         | 58.59     
14         | 56.47     
29         | 56.39     
2          | 55.88     
58         | 54.23     
57         | 52.77     
20         | 51.73     
