=== Auction 34 Results ===
Generated: 2025-09-28 18:14:22

Winner: Bidder 17
Winning Amount: 149.57
Total Bids Received: 77

=== All Bids ===
Bidder ID  | Amount    
----------------------
17         | 149.57    
78         | 149.52    
39         | 148.50    
56         | 146.44    
24         | 145.37    
90         | 145.37    
65         | 142.29    
21         | 141.67    
66         | 141.47    
69         | 141.39    
84         | 139.15    
74         | 138.69    
38         | 138.51    
7          | 137.92    
72         | 135.73    
88         | 135.70    
62         | 135.54    
28         | 133.97    
81         | 130.66    
55         | 128.95    
3          | 128.72    
98         | 128.50    
30         | 127.78    
86         | 126.04    
23         | 124.96    
13         | 124.50    
18         | 123.65    
44         | 121.96    
37         | 119.51    
92         | 118.83    
71         | 116.48    
80         | 116.08    
76         | 114.00    
46         | 110.71    
67         | 110.45    
77         | 110.07    
11         | 108.42    
61         | 108.04    
14         | 107.98    
52         | 104.87    
8          | 101.37    
51         | 100.14    
70         | 99.91     
40         | 98.44     
48         | 96.15     
1          | 92.71     
31         | 92.13     
12         | 91.22     
10         | 89.27     
73         | 88.69     
57         | 88.01     
41         | 87.84     
19         | 87.30     
20         | 85.23     
34         | 84.60     
75         | 84.17     
63         | 83.74     
54         | 83.52     
85         | 83.26     
15         | 77.45     
83         | 75.07     
60         | 74.93     
99         | 74.00     
16         | 73.46     
89         | 71.38     
96         | 69.52     
27         | 67.89     
36         | 66.15     
79         | 65.42     
82         | 63.53     
33         | 63.29     
6          | 62.64     
9          | 55.86     
64         | 55.33     
59         | 50.94     
94         | 50.81     
100        | 50.40     
