=== Auction 19 Results ===
Generated: 2025-09-28 18:14:22

Winner: Bidder 96
Winning Amount: 148.68
Total Bids Received: 66

=== All Bids ===
Bidder ID  | Amount    
----------------------
96         | 148.68    
42         | 146.98    
47         | 142.60    
65         | 141.57    
18         | 141.48    
93         | 139.98    
73         | 133.40    
35         | 132.65    
97         | 129.85    
3          | 128.48    
87         | 128.19    
57         | 124.87    
28         | 124.77    
64         | 124.62    
61         | 124.12    
74         | 123.92    
13         | 123.73    
4          | 123.53    
56         | 117.46    
44         | 116.64    
80         | 115.55    
63         | 114.23    
5          | 112.25    
39         | 109.96    
41         | 109.86    
98         | 108.89    
8          | 108.12    
99         | 103.07    
36         | 102.99    
81         | 101.58    
75         | 99.43     
100        | 98.32     
32         | 95.69     
16         | 95.19     
31         | 94.06     
40         | 92.07     
25         | 91.20     
66         | 89.44     
76         | 86.79     
14         | 86.20     
53         | 84.37     
89         | 83.80     
77         | 80.43     
24         | 78.10     
10         | 76.59     
70         | 75.73     
17         | 71.92     
20         | 71.88     
58         | 66.66     
86         | 66.08     
95         | 65.88     
27         | 65.77     
34         | 65.66     
23         | 63.76     
30         | 63.63     
12         | 62.94     
1          | 61.86     
9          | 61.55     
19         | 61.39     
43         | 60.02     
54         | 58.40     
29         | 57.48     
49         | 57.47     
59         | 56.85     
82         | 55.59     
71         | 50.23     
